Localities,OS_Threads,Execution_Time_sec,Points_per_Partition,Partitions,Time_Steps
1,     4,     0.064104715, 250000,               1,                    45                   
1,     4,     0.077777695, 250000,               2,                    45                   
1,     4,     0.087325485, 250000,               3,                    45                   
1,     4,     0.122820052, 250000,               4,                    45                   
1,     4,     0.139837326, 250000,               5,                    45                   
1,     4,     0.157846194, 250000,               6,                    45                   
1,     4,     0.172983782, 250000,               7,                    45                   
1,     4,     0.186600068, 250000,               8,                    45                   
1,     4,     0.211802003, 250000,               9,                    45                   
1,     4,     0.227219217, 250000,               10,                   45                   
1,     4,     0.237049885, 250000,               11,                   45                   
1,     4,     0.246714536, 250000,               12,                   45                   
1,     4,     0.257489901, 250000,               13,                   45                   
1,     4,     0.269617261, 250000,               14,                   45                   
1,     4,     0.287640215, 250000,               15,                   45     
