OS_Threads,Execution_Time_sec,Grid_Points,Time_Steps
1,                    0.000029115000, 100,                  45                   
1,                    0.000070969000, 500,                  45                   
1,                    0.000163194000, 1000,                 45                   
1,                    0.000697094000, 5000,                 45                   
1,                    0.002253901000, 10000,                45                   
1,                    0.007323958000, 50000,                45                   
1,                    0.013693317000, 100000,               45                   
1,                    0.065230939000, 500000,               45                   
1,                    0.111802190000, 1000000,              45                   
1,                    0.532283998000, 5000000,              45          
1,                    0.987803640000, 10000000,             45 
